% freq [Hz]	Model (first stage) [dBc/Hz]	Model (second Stage) [dBc/Hz]
10	-58.56866009	-78.17607263
10.23292992	-59.00008167	-78.59182607
10.47128548	-59.43055825	-79.00611615
10.71519305	-59.86009148	-79.41893274
10.96478196	-60.28868299	-79.83026574
11.22018454	-60.71633439	-80.24010505
11.48153621	-61.14304732	-80.64844061
11.74897555	-61.56882339	-81.05526242
12.02264435	-61.99366421	-81.46056052
12.30268771	-62.4175714	-81.86432505
12.58925412	-62.84054654	-82.26654627
12.88249552	-63.26259125	-82.66721454
13.18256739	-63.68370711	-83.06632035
13.48962883	-64.10389571	-83.4638544
13.80384265	-64.52315864	-83.85980751
14.12537545	-64.94149747	-84.25417076
14.45439771	-65.35891377	-84.6469354
14.79108388	-65.77540911	-85.03809296
15.13561248	-66.19098505	-85.42763522
15.48816619	-66.60564316	-85.81555424
15.84893192	-67.01938497	-86.20184238
16.21810097	-67.43221205	-86.58649234
16.59586907	-67.84412592	-86.96949716
16.98243652	-68.25512813	-87.35085024
17.37800829	-68.6652202	-87.73054537
17.7827941	-69.07440366	-88.10857674
18.19700859	-69.48268004	-88.48493897
18.62087137	-69.89005084	-88.85962712
19.05460718	-70.29651758	-89.23263671
19.498446	-70.70208176	-89.60396373
19.95262315	-71.10674488	-89.97360467
20.41737945	-71.51050843	-90.34155654
20.89296131	-71.91337391	-90.70781686
21.3796209	-72.31534279	-91.07238369
21.87761624	-72.71641656	-91.43525563
22.38721139	-73.11659669	-91.79643187
22.90867653	-73.51588465	-92.15591214
23.44228815	-73.9142819	-92.51369678
23.98832919	-74.31178989	-92.86978671
24.54708916	-74.7084101	-93.22418343
25.11886432	-75.10414396	-93.57688907
25.70395783	-75.49899292	-93.92790635
26.30267992	-75.89295841	-94.2772386
26.91534804	-76.28604189	-94.62488978
27.54228703	-76.67824476	-94.97086444
28.18382931	-77.06956847	-95.31516775
28.84031503	-77.46001444	-95.65780549
29.51209227	-77.84958408	-95.99878405
30.1995172	-78.2382788	-96.33811039
30.90295433	-78.62610002	-96.67579211
31.6227766	-79.01304915	-97.01183736
32.35936569	-79.39912758	-97.34625488
33.11311215	-79.78433671	-97.67905397
33.88441561	-80.16867795	-98.01024449
34.67368505	-80.55215268	-98.33983685
35.48133892	-80.93476229	-98.66784198
36.30780548	-81.31650817	-98.99427132
37.15352291	-81.69739171	-99.31913681
